[2026-08-15 17:27:27,264] 15 root INFO - Initiate the data ingestion
[2026-08-15 17:27:35,811] 67 root INFO - performed train test split on the dataframe
[2026-08-15 17:27:35,811] 69 root INFO - Excited split_data_as_train_test of method data ingestion class
[2026-08-15 17:27:35,873] 77 root INFO - exported train and test file_path
[2026-08-15 17:27:35,873] 17 root INFO - Data initiation is completed
[2026-08-15 17:27:35,897] 21 root INFO - initated the data validation
[2026-08-15 17:27:35,997] 33 root INFO - required no of columns : 31
[2026-08-15 17:27:35,997] 34 root INFO - data frame of ha columns:31
[2026-08-15 17:27:35,997] 33 root INFO - required no of columns : 31
[2026-08-15 17:27:35,997] 34 root INFO - data frame of ha columns:31
[2026-08-15 17:27:35,997] 166 root INFO - Numerical column validation completed successfully.
[2026-08-15 17:27:36,184] 206 root INFO - Data validation artifact: DataValidationArtifact(validation_status=True, valid_train_file_path='Artifacts\\08_15_2026_17_27_14\\data_validation\\validated\\train.csv', valid_test_file_path='Artifacts\\08_15_2026_17_27_14\\data_validation\\validated\\test.csv', invalid_train_file_path=None, invalid_test_file_path=None, drift_report_file_path='Artifacts\\08_15_2026_17_27_14\\data_validation\\drift_report\\report.yaml')
[2026-08-15 17:27:36,184] 23 root INFO - initated datavalidation is completed
